id,wrkstat,prestg10,age,sex
662,5.0,63.0,69.0,1.0
266,2.0,31.0,,1.0
2232,1.0,39.0,47.0,2.0
2098,8.0,34.0,55.0,1.0
1263,1.0,59.0,36.0,2.0
1371,1.0,60.0,40.0,1.0
2995,5.0,65.0,66.0,2.0
253,5.0,36.0,66.0,2.0
801,5.0,47.0,69.0,1.0
1541,1.0,51.0,,2.0
1710,1.0,60.0,31.0,1.0
3235,8.0,28.0,52.0,1.0
1780,1.0,25.0,30.0,2.0
2815,1.0,36.0,35.0,2.0
3408,5.0,64.0,85.0,2.0
2133,6.0,,19.0,1.0
1641,1.0,17.0,30.0,2.0
1686,1.0,35.0,36.0,1.0
3105,5.0,28.0,,2.0
112,3.0,44.0,52.0,1.0
771,1.0,74.0,40.0,2.0
825,1.0,72.0,47.0,2.0
3465,6.0,,20.0,2.0
861,8.0,31.0,,
305,5.0,45.0,60.0,2.0
1112,5.0,51.0,64.0,1.0
3094,7.0,31.0,56.0,2.0
2865,7.0,38.0,41.0,2.0
3040,6.0,48.0,30.0,2.0
2948,5.0,43.0,65.0,1.0
3060,6.0,27.0,20.0,1.0
1054,8.0,26.0,83.0,1.0
3029,7.0,,45.0,2.0
1781,5.0,70.0,76.0,2.0
659,1.0,58.0,27.0,2.0
2096,2.0,74.0,60.0,2.0
3006,7.0,31.0,31.0,2.0
3188,5.0,64.0,84.0,2.0
2692,1.0,47.0,60.0,1.0
1429,2.0,28.0,62.0,2.0
1842,3.0,20.0,18.0,1.0
3246,4.0,32.0,47.0,2.0
3370,8.0,32.0,62.0,2.0
1176,2.0,29.0,58.0,1.0
3039,4.0,32.0,57.0,2.0
2451,5.0,25.0,69.0,1.0
3289,5.0,35.0,56.0,1.0
3151,3.0,61.0,66.0,2.0
976,1.0,25.0,58.0,1.0
62,2.0,48.0,30.0,2.0
2205,1.0,35.0,,1.0
1287,8.0,29.0,54.0,1.0
2932,3.0,64.0,26.0,1.0
2580,1.0,38.0,52.0,1.0
2507,5.0,39.0,62.0,1.0
2957,1.0,39.0,52.0,2.0
2560,3.0,29.0,50.0,1.0
3089,5.0,63.0,68.0,2.0
1418,1.0,35.0,60.0,2.0
3403,1.0,48.0,45.0,1.0
1951,1.0,50.0,39.0,1.0
152,1.0,28.0,37.0,1.0
3205,1.0,53.0,42.0,2.0
1620,4.0,48.0,21.0,2.0
1337,1.0,42.0,36.0,2.0
2562,7.0,40.0,52.0,1.0
1382,7.0,38.0,,2.0
2670,5.0,74.0,77.0,1.0
2497,7.0,28.0,84.0,2.0
217,1.0,28.0,61.0,1.0
19,2.0,48.0,35.0,2.0
356,3.0,61.0,42.0,2.0
1420,5.0,53.0,63.0,1.0
746,5.0,48.0,89.0,2.0
1189,8.0,45.0,47.0,1.0
1852,1.0,65.0,27.0,2.0
596,8.0,67.0,62.0,1.0
1291,3.0,60.0,42.0,1.0
2860,5.0,60.0,70.0,1.0
2106,4.0,39.0,,2.0
1874,6.0,,22.0,1.0
2442,5.0,43.0,69.0,1.0
1231,7.0,48.0,49.0,1.0
1516,8.0,,52.0,2.0
2974,1.0,60.0,41.0,1.0
1711,1.0,64.0,54.0,2.0
1580,6.0,,18.0,2.0
